
     BLOCK NUMBER .......................................           24
     PEAK FIELD IN CONDUCTOR  224 (T) ...................      10.1164
     CURRENT IN CONDUCTOR 224 (A) .......................  -12000.0000
     LOWEST FIELD IN CONDUCTOR  207 (T) .................       3.0341
     SUPERCONDUCTOR CURRENT DENSITY (A/MM2) .............   -1641.6995
     COPPER CURRENT DENSITY (A/MM2) .....................   -1484.3576
 
     FOR MUTUAL INDUCTANCE BETWEEN BLOCK GROUPS USE OPTIMIZATION WITH
     ALGORITHM <MUTUAL INDUCTANCES IN NL. CIRCUITS> IN A STATIC CALC.

     DIFFERENTIAL SELF INDUCTANCE (mH/m) ................   0.5727E+01
     STORED MAGNETIC ENERGY IN NONLINEAR CIRCUIT (kJ/m) .   0.4553E+03
   
 
     GRAPH:   1
        N    ABSCISSA       ORDINATE
        1 ,  0.000000000E+00 ,  0.113124825E+02
        2 ,  0.606060606E-01 ,  0.113124619E+02
        3 ,  0.121212121E+00 ,  0.113124414E+02
        4 ,  0.181818182E+00 ,  0.113124212E+02
        5 ,  0.242424242E+00 ,  0.113124012E+02
        6 ,  0.303030303E+00 ,  0.113123813E+02
        7 ,  0.363636364E+00 ,  0.113123617E+02
        8 ,  0.424242424E+00 ,  0.113123422E+02
        9 ,  0.484848485E+00 ,  0.113123229E+02
       10 ,  0.545454545E+00 ,  0.113123039E+02
       11 ,  0.606060606E+00 ,  0.113122850E+02
       12 ,  0.666666667E+00 ,  0.113122663E+02
       13 ,  0.727272727E+00 ,  0.113122479E+02
       14 ,  0.787878788E+00 ,  0.113122296E+02
       15 ,  0.848484848E+00 ,  0.113122115E+02
       16 ,  0.909090909E+00 ,  0.113121936E+02
       17 ,  0.969696970E+00 ,  0.113121759E+02
       18 ,  0.103030303E+01 ,  0.113121585E+02
       19 ,  0.109090909E+01 ,  0.113121412E+02
       20 ,  0.115151515E+01 ,  0.113121241E+02
       21 ,  0.121212121E+01 ,  0.113121072E+02
       22 ,  0.127272727E+01 ,  0.113120905E+02
       23 ,  0.133333333E+01 ,  0.113120740E+02
       24 ,  0.139393939E+01 ,  0.113120577E+02
       25 ,  0.145454545E+01 ,  0.113120416E+02
       26 ,  0.151515152E+01 ,  0.113120257E+02
       27 ,  0.157575758E+01 ,  0.113120100E+02
       28 ,  0.163636364E+01 ,  0.113119945E+02
       29 ,  0.169696970E+01 ,  0.113119792E+02
       30 ,  0.175757576E+01 ,  0.113119641E+02
       31 ,  0.181818182E+01 ,  0.113119492E+02
       32 ,  0.187878788E+01 ,  0.113119345E+02
       33 ,  0.193939394E+01 ,  0.113119200E+02
       34 ,  0.200000000E+01 ,  0.113119057E+02
       35 ,  0.206060606E+01 ,  0.113118916E+02
       36 ,  0.212121212E+01 ,  0.113118777E+02
       37 ,  0.218181818E+01 ,  0.113118640E+02
       38 ,  0.224242424E+01 ,  0.113118505E+02
       39 ,  0.230303030E+01 ,  0.113118373E+02
       40 ,  0.236363636E+01 ,  0.113118242E+02
       41 ,  0.242424242E+01 ,  0.113118113E+02
       42 ,  0.248484848E+01 ,  0.113117986E+02
       43 ,  0.254545455E+01 ,  0.113117861E+02
       44 ,  0.260606061E+01 ,  0.113117738E+02
       45 ,  0.266666667E+01 ,  0.113117617E+02
       46 ,  0.272727273E+01 ,  0.113117499E+02
       47 ,  0.278787879E+01 ,  0.113117382E+02
       48 ,  0.284848485E+01 ,  0.113117267E+02
       49 ,  0.290909091E+01 ,  0.113117154E+02
       50 ,  0.296969697E+01 ,  0.113117044E+02
       51 ,  0.303030303E+01 ,  0.113116935E+02
       52 ,  0.309090909E+01 ,  0.113116829E+02
       53 ,  0.315151515E+01 ,  0.113116724E+02
       54 ,  0.321212121E+01 ,  0.113116622E+02
